Sample,pop1,pop2,pop3,pop4,pop5,pop6,pop7,assignment
nadwislanka,1e-05,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,pop5
osvald72yvf,1e-05,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,pop5
saazer38,1e-05,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,pop5
tettnanger,1e-05,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,pop5
sterling,1e-05,1e-05,1e-05,0.024824,0.745301,0.229835,1e-05,pop5
backa,1e-05,1e-05,1e-05,0.269509,0.730441,1e-05,1e-05,pop5
bianca,0.287122,1e-05,1e-05,1e-05,0.712828,1e-05,1e-05,pop5
sunbeam,0.255022,1e-05,1e-05,1e-05,0.592476,1e-05,0.152462,pop5
southernbrewer,1e-05,0.171154,0.109279,0.16211,0.472864,0.084573,1e-05,pop5
mtrainier,0.083662,1e-05,1e-05,0.216489,0.368748,0.051249,0.279832,pop5
hallertauertradition,1e-05,1e-05,1e-05,1e-05,1e-05,0.99994,1e-05,pop6
perle,1e-05,1e-05,1e-05,0.122594,1e-05,0.877356,1e-05,pop6
orion,1e-05,1e-05,1e-05,0.143037,1e-05,0.856913,1e-05,pop6
hersbruckerpure,1e-05,1e-05,1e-05,1e-05,0.178265,0.821685,1e-05,pop6
northernbrewer,1e-05,1e-05,1e-05,0.22041,1e-05,0.77954,1e-05,pop6
bobek,1e-05,1e-05,1e-05,0.302768,1e-05,0.697182,1e-05,pop6
hallertauergold,1e-05,1e-05,1e-05,1e-05,0.34569,0.65426,1e-05,pop6
neoplanta,1e-05,1e-05,1e-05,0.373132,1e-05,0.626818,1e-05,pop6
vojvodina,1e-05,1e-05,1e-05,0.400176,1e-05,0.599774,1e-05,pop6
wyeviking,1e-05,1e-05,1e-05,0.2408,0.166869,0.592291,1e-05,pop6
wyechallenger,1e-05,1e-05,1e-05,1e-05,0.423734,0.576216,1e-05,pop6
buket,1e-05,1e-05,1e-05,0.437955,1e-05,0.561995,1e-05,pop6
spalterselect,1e-05,1e-05,1e-05,0.217889,0.254481,0.527589,1e-05,pop6
omega,1e-05,1e-05,1e-05,1e-05,0.4756,0.52435,1e-05,pop6
aurora,1e-05,1e-05,1e-05,0.475637,1e-05,0.524313,1e-05,pop6
keyworthearly,0.131131,1e-05,1e-05,0.285298,1e-05,0.518053,0.065487,pop6
hallertauermagnum,1e-05,1e-05,1e-05,1e-05,1e-05,0.513792,0.486158,pop6
scarlet,0.198368,1e-05,1e-05,0.202492,0.043989,0.49526,0.05987,pop6
wyesaxon,0.192635,1e-05,1e-05,0.283276,0.167123,0.356936,1e-05,pop6
magnumx21267m,1e-05,1e-05,1e-05,1e-05,0.068009,0.095339,0.836611,pop7
teamaker,1e-05,1e-05,1e-05,0.21015,1e-05,1e-05,0.7898,pop7
usda21734,1.3e-05,1e-05,1e-05,0.267392,1e-05,1e-05,0.732556,pop7
hybrid2,1e-05,1e-05,1e-05,0.339312,1e-05,1e-05,0.660638,pop7
cascade,1e-05,0.037136,1e-05,0.310458,1e-05,1e-05,0.652366,pop7
prideofringwood,1e-05,1e-05,1e-05,0.381141,1e-05,1e-05,0.618809,pop7
horizon,1e-05,1e-05,1e-05,1e-05,0.206852,0.253687,0.53942,pop7
tc8551,0.141885,1e-05,0.346667,1e-05,1e-05,1e-05,0.511408,pop7
nuggeta,1e-05,1e-05,1e-05,0.077471,1e-05,0.432008,0.490481,pop7
kitamidori,0.000145,1e-05,1e-05,0.453908,1e-05,0.071362,0.474555,pop7
nugget,1e-05,1e-05,1e-05,0.058975,1e-05,0.467522,0.473463,pop7
newport,1e-05,1e-05,1e-05,0.32433,0.021888,0.214276,0.439476,pop7
