Sample,pop1,pop2,pop3,pop4,pop5,pop6,pop7,pop8
kirinii,0.112893,1e-05,1e-05,1e-05,0.321089,1e-05,1e-05,0.565967
shinshuwase,0.136973,1e-05,1e-05,1e-05,0.334201,1e-05,1e-05,0.528776
toyomidori,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
wyetarget,1e-05,0.747636,1e-05,1e-05,0.252304,1e-05,1e-05,1e-05
wyetargeta,1e-05,0.716119,1e-05,1e-05,0.283821,1e-05,1e-05,1e-05
chinook,1e-05,0.2428,1e-05,0.031736,0.337272,1e-05,1e-05,0.388152
comet,1e-05,0.497174,1e-05,1e-05,0.156817,1e-05,1e-05,0.345958
cometa,1e-05,0.551943,1e-05,1e-05,0.123724,1e-05,1e-05,0.324284
pioneer,1e-05,0.338299,1e-05,1e-05,1e-05,1e-05,0.398143,0.263508
easterngold,0.096116,0.404292,0.06563,0.202264,1e-05,1e-05,0.231668,1e-05
kirinc601,0.25874,0.613742,1e-05,1e-05,0.027769,0.018635,0.081085,1e-05
cascade,0.81583,1e-05,1e-05,1e-05,1e-05,0.18411,1e-05,1e-05
teamaker,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
usda21734,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hybrid2,1e-05,1e-05,1e-05,0.72066,1e-05,0.27928,1e-05,1e-05
prideofringwood,1e-05,1e-05,1e-05,0.679786,1e-05,0.320154,1e-05,1e-05
hallertauermagnum,1e-05,1e-05,1e-05,0.638881,1e-05,1e-05,0.361059,1e-05
nugget,1e-05,1e-05,1e-05,0.709186,0.290754,1e-05,1e-05,1e-05
nuggeta,1e-05,1e-05,1e-05,0.724117,0.275823,1e-05,1e-05,1e-05
horizon,1e-05,1e-05,0.281496,0.718444,1e-05,1e-05,1e-05,1e-05
magnumx21267m,0.03251,0.171428,1e-05,0.796012,1e-05,1e-05,1e-05,1e-05
kitamidori,0.386325,1e-05,1e-05,0.18518,0.264487,0.097198,0.06678,1e-05
newport,0.20796,0.029027,0.035525,0.296797,0.315605,0.045477,0.069599,1e-05
easterngreen,1e-05,0.171135,1e-05,0.42526,0.164175,0.239391,1e-05,1e-05
yeoman,1e-05,1e-05,0.092465,0.213823,0.237261,0.220702,0.235719,1e-05
alliance,1e-05,1e-05,0.184693,1e-05,0.364652,0.450605,1e-05,1e-05
tolhurst,1e-05,1e-05,0.061429,1e-05,0.340228,0.503034,0.095269,1e-05
earlyprolific,1e-05,1.8e-05,0.099819,1e-05,0.528519,0.252296,0.119318,1e-05
earlypromise,1e-05,1e-05,1e-05,1e-05,0.759887,0.240053,1e-05,1e-05
whitbredsgolding,1e-05,1e-05,0.125121,1e-05,0.662313,0.212515,1e-05,1e-05
